train_loss,valid_loss
402.5893698083349,315.0849987549639
193.82003674509122,164.05042512709912
112.27324847675825,88.42983866846839
84.68472218404531,73.28615750030822
74.27303514532097,66.72420136714695
65.38165503336673,57.47395973585769
55.92660533871748,47.23574934290889
44.30245331089478,35.637545576127266
30.854304469369684,21.917899521482347
19.094641573754988,12.516868239621388
12.094553363437122,10.286652625201153
10.587367265413647,10.167233568489353
10.128410005351544,9.193494163082288
9.513306166455118,8.693830208128869
9.267285889394559,8.503755813421206
9.08537055032601,8.336060707751303
8.89206318781987,8.20623342064132
8.806234862530038,8.02632885042615
8.657093180825614,7.859801062713826
8.428944780661151,7.855962129130316
8.218345575130575,7.572204444099502
8.052781418442578,7.453101478145764
7.888766983311157,7.448591325766224
7.787379185193596,7.172997702791841
7.604077985388736,7.038925623972947
7.44442463396593,6.870232788035244
7.353374083803856,6.932863968947401
7.2619868660052385,6.627749629987038
7.072958790121803,6.563396613859259
6.872697396153575,6.347132825376187
6.716656313627946,6.263470814473605
6.588695258880286,6.342471495023202
6.496733916068305,5.979212260325486
6.3109532002844055,5.840361474756387
6.222746470878864,5.775259684882687
6.1329653101637,5.600681946523165
5.988604466549628,5.666439446103929
5.902006574820125,5.383531282114428
5.6977837320477525,5.275531182653484
5.554108779163939,5.236602032303414
5.432216340593149,5.045826797865554
5.309159074822154,4.945034537204476
5.226282877103887,4.810099679370259
5.077269553147662,4.7211317857634585
4.96065448318025,4.619023529002041
4.876952690359067,4.488577953604764
4.790504989853824,4.378631235357139
4.629646668158778,4.4178862650925135
4.616137743293372,4.195117963112866
4.454678106565519,4.0919578986310485
4.307061282935655,3.9882250307406304
4.258305960489993,3.888049765678735
4.214610397840468,3.8226773612126954
4.116622359612991,3.7411301848896317
4.020995679711919,3.6200565824476985
3.877248215090946,3.5349534001461294
3.760154101082929,3.4611318618356193
3.6588959178837395,3.409468737155496
3.5856220464662836,3.3058839731438217
3.48641961642108,3.207704487829113
3.4174878243643265,3.1575006258448095
3.3677668230732696,3.0518170377344784
3.2627858184510163,2.984104253921002
3.2198489137244612,2.9369587977463225
3.1104950983097406,2.884340298136207
3.0585767329358244,2.7819180583637024
3.005246167565264,2.7203145763802765
2.9854272511374864,2.654112906155
2.8856732722481704,2.6904609551857477
